timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1595553426,22.31,113.93,0,230,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:17:06
1595553479,22.31,113.93,0,330,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:17:59
1595553543,22.31,113.93,0,180,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:19:03
1595553599,22.31,113.93,0,82,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:19:59
1595553681,22.31,113.93,0,130,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:21:21
1595553749,22.31,113.93,0,307,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:22:29
1595553809,22.31,113.93,0,300,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:23:29
1595553843,22.31,113.93,0,43,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:24:03
1595553913,22.31,113.93,0,180,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:25:13
1595553975,22.31,113.93,0,252,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:26:15
1595554037,22.31,113.93,0,59,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:27:17
1595554092,22.31,113.93,0,39,10,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:28:12
1595554132,22.31,113.93,0,45,10,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:28:52
1595554249,22.31,113.93,0,311,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:30:49
1595554337,22.32,113.93,0,292,18,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:32:17
1595554370,22.32,113.93,0,295,22,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:32:50
1595554442,22.32,113.92,0,250,34,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:34:02
1595554512,22.31,113.92,0,160,33,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:35:12
1595554566,22.31,113.92,0,160,19,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:36:06
1595554626,22.31,113.93,0,70,16,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:37:06
1595554690,22.31,113.93,0,70,34,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:38:10
1595554755,22.31,113.93,0,138,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:39:15
1595554816,22.31,113.93,0,230,0,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:40:16
1595554878,22.31,113.93,0,258,18,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:41:18
1595554942,22.31,113.93,0,250,31,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:42:22
1595554999,22.3,113.9,425,250,179,78016D,HKG,SGN,CPA767,1600,B773,CX767,2020-07-24,08:43:19
1595555053,22.28,113.85,1850,251,214,78016D,HKG,SGN,CPA767,384,B773,CX767,2020-07-24,08:44:13
1595555120,22.25,113.78,3625,216,243,78016D,HKG,SGN,CPA767,1856,B773,CX767,2020-07-24,08:45:20
1595555182,22.18,113.78,5300,167,270,78016D,HKG,SGN,CPA767,2112,B773,CX767,2020-07-24,08:46:22
1595555225,22.12,113.8,6175,169,296,78016D,HKG,SGN,CPA767,896,B773,CX767,2020-07-24,08:47:05
1595555262,22.08,113.81,6175,169,296,78016D,HKG,SGN,CPA767,896,B773,CX767,2020-07-24,08:47:42
1595555362,21.94,113.89,8200,152,346,78016D,HKG,SGN,CPA767,1408,B773,CX767,2020-07-24,08:49:22
1595555426,21.82,113.91,11000,174,365,78016D,HKG,SGN,CPA767,1664,B773,CX767,2020-07-24,08:50:26
1595555487,21.72,113.92,12575,174,377,78016D,HKG,SGN,CPA767,1728,B773,CX767,2020-07-24,08:51:27
1595555535,21.63,113.93,13875,174,384,78016D,HKG,SGN,CPA767,1856,B773,CX767,2020-07-24,08:52:15
1595555610,21.52,113.94,13875,174,384,78016D,HKG,SGN,CPA767,1856,B773,CX767,2020-07-24,08:53:30
1595555656,21.41,113.95,17175,174,403,78016D,HKG,SGN,CPA767,1728,B773,CX767,2020-07-24,08:54:16
1595555735,21.26,113.97,19350,174,416,78016D,HKG,SGN,CPA767,1920,B773,CX767,2020-07-24,08:55:35
1595555797,21.14,113.98,20950,174,426,78016D,HKG,SGN,CPA767,1600,B773,CX767,2020-07-24,08:56:37
1595555850,21.04,113.97,21575,194,432,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:57:30
1595555894,20.94,114.0,23425,181,445,78016D,HKG,SGN,CPA767,1664,B773,CX767,2020-07-24,08:58:14
1595555970,20.81,113.95,24250,217,455,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,08:59:30
1595556038,20.67,113.91,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:00:38
1595556098,20.58,113.84,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:01:38
1595556158,20.49,113.77,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:02:38
1595556218,20.41,113.7,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:03:38
1595556290,20.3,113.62,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:04:50
1595556350,20.2,113.53,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:05:50
1595556410,20.09,113.45,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:06:50
1595556470,19.99,113.37,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:07:50
1595556530,19.89,113.28,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:08:50
1595556590,19.78,113.2,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:09:50
1595556650,19.68,113.12,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:10:50
1595556710,19.58,113.04,25875,217,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:11:50
1595556770,19.47,112.96,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:12:50
1595556842,19.35,112.86,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:14:02
1595556890,19.27,112.79,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:14:50
1595556962,19.14,112.7,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:16:02
1595557022,19.04,112.62,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:17:02
1595557082,18.93,112.54,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:18:02
1595557130,18.85,112.47,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:18:50
1595557190,18.74,112.39,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:19:50
1595557250,18.64,112.31,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:20:50
1595557310,18.53,112.23,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:21:50
1595557370,18.43,112.15,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:22:50
1595557430,18.33,112.07,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:23:50
1595557490,18.22,111.99,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:24:50
1595557550,18.12,111.91,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:25:50
1595557610,18.01,111.83,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:26:50
1595557670,17.91,111.75,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:27:50
1595557730,17.8,111.67,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:28:50
1595557790,17.7,111.59,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:29:50
1595557850,17.6,111.52,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:30:50
1595557910,17.49,111.44,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:31:50
1595557970,17.39,111.36,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:32:50
1595558030,17.28,111.28,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:33:50
1595558090,17.18,111.2,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:34:50
1595558138,17.09,111.13,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:35:38
1595558198,16.99,111.05,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:36:38
1595558270,16.86,110.96,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:37:50
1595558330,16.76,110.88,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:38:50
1595558390,16.66,110.8,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:39:50
1595558450,16.55,110.72,25875,216,465,78016D,HKG,SGN,CPA767,0,B773,CX767,2020-07-24,09:40:50
