timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1590946529,28.39,105.34,33125,161,473,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590946586,28.28,105.38,33125,161,471,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590946651,28.14,105.44,33100,155,475,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590946710,28.03,105.5,33075,154,476,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590946768,27.91,105.56,33075,154,476,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590946820,27.8,105.62,33100,154,475,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590946882,27.68,105.69,33125,154,475,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590946938,27.57,105.74,33125,155,473,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590947002,27.44,105.81,33100,155,471,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590947056,27.34,105.87,33525,153,474,78058A,CTU,SGN,CSC8447,896,A321,3U8447
1590947116,27.22,105.93,34300,153,475,78058A,CTU,SGN,CSC8447,832,A321,3U8447
1590947176,27.1,106.0,35075,147,481,78058A,CTU,SGN,CSC8447,448,A321,3U8447
1590947238,26.99,106.1,35100,132,491,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590947298,26.91,106.23,35100,126,491,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590947358,26.83,106.34,35100,127,492,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590947410,26.76,106.44,35100,127,491,78058A,CTU,SGN,CSC8447,64,A321,3U8447
1590947462,26.69,106.56,35075,127,492,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590947522,26.6,106.68,35100,127,496,78058A,CTU,SGN,CSC8447,64,A321,3U8447
1590947582,26.51,106.8,35125,132,495,78058A,CTU,SGN,CSC8447,128,A321,3U8447
1590947640,26.42,106.91,35125,135,497,78058A,CTU,SGN,CSC8447,-64,A321,3U8447
1590947690,26.34,107.0,35150,135,496,78058A,CTU,SGN,CSC8447,-64,A321,3U8447
1590947746,26.25,107.09,35125,135,492,78058A,CTU,SGN,CSC8447,-256,A321,3U8447
1590947816,26.14,107.22,35100,135,482,78058A,CTU,SGN,CSC8447,64,A321,3U8447
1590947872,26.05,107.32,35125,130,484,78058A,CTU,SGN,CSC8447,-64,A321,3U8447
1590947934,25.98,107.42,35125,130,484,78058A,CTU,SGN,CSC8447,-64,A321,3U8447
1590947994,25.9,107.52,35125,130,484,78058A,CTU,SGN,CSC8447,-64,A321,3U8447
1590948050,25.83,107.61,35125,130,484,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590948114,25.74,107.72,35100,131,479,78058A,CTU,SGN,CSC8447,-64,A321,3U8447
1590948170,25.66,107.82,35075,131,476,78058A,CTU,SGN,CSC8447,64,A321,3U8447
1590948222,25.57,107.93,35150,131,474,78058A,CTU,SGN,CSC8447,128,A321,3U8447
1590948282,25.5,108.02,35150,131,474,78058A,CTU,SGN,CSC8447,128,A321,3U8447
1590948338,25.54,108.22,35100,112,469,78058A,CTU,SGN,CSC8447,-128,A321,3U8447
1590948398,25.49,108.36,35100,112,464,78058A,CTU,SGN,CSC8447,64,A321,3U8447
1590948458,25.44,108.48,35075,112,463,78058A,CTU,SGN,CSC8447,-64,A321,3U8447
1590948518,25.33,108.56,35075,124,458,78058A,CTU,SGN,CSC8447,128,A321,3U8447
1590948582,25.15,108.54,35125,147,444,78058A,CTU,SGN,CSC8447,64,A321,3U8447
1590948638,25.04,108.59,35100,149,446,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590948698,24.89,108.53,35100,172,440,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590948746,24.81,108.55,35100,172,440,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590948810,24.67,108.56,35050,172,437,78058A,CTU,SGN,CSC8447,-192,A321,3U8447
1590948870,24.57,108.58,35050,172,437,78058A,CTU,SGN,CSC8447,-192,A321,3U8447
1590948930,24.46,108.62,35100,170,440,78058A,CTU,SGN,CSC8447,64,A321,3U8447
1590948990,24.32,108.64,35075,170,460,78058A,CTU,SGN,CSC8447,64,A321,3U8447
1590949050,24.38,108.64,35125,169,460,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590949118,24.04,108.77,35150,166,460,78058A,CTU,SGN,CSC8447,0,A321,3U8447
1590949170,23.98,108.73,35150,173,476,78058A,CTU,SGN,CSC8447,-128,A321,3U8447
1590949226,23.82,108.58,34575,198,468,78058A,CTU,SGN,CSC8447,-576,A321,3U8447
