,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
22,1608553169,13.67,100.75,0,5,16,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:19:29
5,1608553219,13.66,100.75,0,5,22,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:20:19
152,1608553584,13.71,100.77,2825,15,164,A008ED,BKK,SGN,FDX6065,3776,B763,FX6065,2020-12-21,19:26:24
15,1608553649,13.77,100.78,5825,20,259,A008ED,BKK,SGN,FDX6065,2880,B763,FX6065,2020-12-21,19:27:29
10,1608553712,13.79,100.85,10100,98,294,A008ED,BKK,SGN,FDX6065,3712,B763,FX6065,2020-12-21,19:28:32
140,1608553770,13.78,100.94,12875,89,358,A008ED,BKK,SGN,FDX6065,1920,B763,FX6065,2020-12-21,19:29:30
46,1608553832,13.73,101.04,16325,127,400,A008ED,BKK,SGN,FDX6065,3904,B763,FX6065,2020-12-21,19:30:32
126,1608553896,13.66,101.14,19700,125,424,A008ED,BKK,SGN,FDX6065,3008,B763,FX6065,2020-12-21,19:31:36
150,1608553956,13.59,101.25,22475,125,447,A008ED,BKK,SGN,FDX6065,2752,B763,FX6065,2020-12-21,19:32:36
48,1608554016,13.51,101.34,25150,146,471,A008ED,BKK,SGN,FDX6065,2560,B763,FX6065,2020-12-21,19:33:36
58,1608554081,13.39,101.42,27775,145,485,A008ED,BKK,SGN,FDX6065,2112,B763,FX6065,2020-12-21,19:34:41
31,1608554135,13.3,101.51,29675,122,495,A008ED,BKK,SGN,FDX6065,2560,B763,FX6065,2020-12-21,19:35:35
4,1608554191,13.25,101.63,32450,109,476,A008ED,BKK,SGN,FDX6065,2048,B763,FX6065,2020-12-21,19:36:31
20,1608554257,13.21,101.77,33000,108,478,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:37:37
84,1608554316,13.16,101.9,33000,109,478,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:38:36
18,1608554380,13.12,102.04,33025,109,479,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:39:40
30,1608554443,13.07,102.17,33025,109,480,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:40:43
108,1608554501,13.03,102.3,33025,109,480,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:41:41
34,1608554561,12.98,102.42,33025,109,480,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:42:41
37,1608554621,12.93,102.55,33025,120,478,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:43:41
19,1608554680,12.86,102.66,33025,121,475,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:44:40
107,1608554744,12.79,102.78,33000,121,472,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:45:44
141,1608554805,12.72,102.9,33000,121,469,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:46:45
27,1608554868,12.65,103.02,33025,121,468,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:47:48
86,1608554926,12.58,103.13,33000,121,466,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:48:46
7,1608554984,12.52,103.24,33025,121,467,A008ED,BKK,SGN,FDX6065,64,B763,FX6065,2020-12-21,19:49:44
145,1608555045,12.45,103.35,33025,121,466,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:50:45
64,1608555104,12.38,103.46,33025,121,469,A008ED,BKK,SGN,FDX6065,-64,B763,FX6065,2020-12-21,19:51:44
45,1608555169,12.31,103.59,33000,121,467,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:52:49
57,1608555228,12.24,103.7,33025,121,464,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:53:48
106,1608555283,12.18,103.8,33000,121,462,A008ED,BKK,SGN,FDX6065,64,B763,FX6065,2020-12-21,19:54:43
116,1608555343,12.11,103.91,33025,121,460,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:55:43
114,1608555403,12.04,104.02,33025,121,459,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:56:43
144,1608555464,11.98,104.14,33025,121,459,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:57:44
83,1608555529,11.9,104.26,33025,121,460,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:58:49
115,1608555590,11.83,104.37,33025,121,461,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,19:59:50
96,1608555650,11.77,104.48,33025,121,462,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:00:50
82,1608555702,11.71,104.58,33025,121,462,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:01:42
151,1608555766,11.64,104.69,33025,121,463,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:02:46
1,1608555824,11.57,104.8,33025,121,466,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:03:44
153,1608555878,11.52,104.91,32325,112,467,A008ED,BKK,SGN,FDX6065,-1472,B763,FX6065,2020-12-21,20:04:38
109,1608555942,11.47,105.04,30800,111,475,A008ED,BKK,SGN,FDX6065,-1344,B763,FX6065,2020-12-21,20:05:42
122,1608556000,11.42,105.16,29800,111,474,A008ED,BKK,SGN,FDX6065,-960,B763,FX6065,2020-12-21,20:06:40
40,1608556067,11.37,105.3,28675,111,474,A008ED,BKK,SGN,FDX6065,-768,B763,FX6065,2020-12-21,20:07:47
146,1608556128,11.32,105.43,27900,111,470,A008ED,BKK,SGN,FDX6065,-768,B763,FX6065,2020-12-21,20:08:48
100,1608556176,11.28,105.52,27400,111,465,A008ED,BKK,SGN,FDX6065,-512,B763,FX6065,2020-12-21,20:09:36
112,1608556245,11.22,105.66,26075,111,469,A008ED,BKK,SGN,FDX6065,-1728,B763,FX6065,2020-12-21,20:10:45
119,1608556295,11.18,105.77,24925,111,477,A008ED,BKK,SGN,FDX6065,-832,B763,FX6065,2020-12-21,20:11:35
32,1608556353,11.14,105.89,24050,111,473,A008ED,BKK,SGN,FDX6065,-960,B763,FX6065,2020-12-21,20:12:33
3,1608556416,11.08,106.02,23175,111,469,A008ED,BKK,SGN,FDX6065,-832,B763,FX6065,2020-12-21,20:13:36
14,1608556476,11.04,106.14,22475,112,445,A008ED,BKK,SGN,FDX6065,-1344,B763,FX6065,2020-12-21,20:14:36
61,1608556536,10.97,106.23,20900,137,406,A008ED,BKK,SGN,FDX6065,-1792,B763,FX6065,2020-12-21,20:15:36
54,1608556596,10.89,106.31,19175,137,371,A008ED,BKK,SGN,FDX6065,-1728,B763,FX6065,2020-12-21,20:16:36
80,1608556661,10.81,106.38,17300,137,355,A008ED,BKK,SGN,FDX6065,-1664,B763,FX6065,2020-12-21,20:17:41
123,1608556725,10.73,106.45,15425,138,324,A008ED,BKK,SGN,FDX6065,-1408,B763,FX6065,2020-12-21,20:18:45
98,1608556774,10.68,106.5,14300,137,288,A008ED,BKK,SGN,FDX6065,-1344,B763,FX6065,2020-12-21,20:19:34
142,1608556854,10.61,106.56,13150,137,281,A008ED,BKK,SGN,FDX6065,-1344,B763,FX6065,2020-12-21,20:20:54
23,1608556914,10.56,106.63,11275,112,264,A008ED,BKK,SGN,FDX6065,-1280,B763,FX6065,2020-12-21,20:21:54
130,1608556970,10.54,106.7,10100,111,263,A008ED,BKK,SGN,FDX6065,-1280,B763,FX6065,2020-12-21,20:22:50
69,1608557027,10.51,106.76,8800,112,266,A008ED,BKK,SGN,FDX6065,-1408,B763,FX6065,2020-12-21,20:23:47
28,1608557088,10.48,106.83,8025,110,258,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:24:48
72,1608557152,10.5,106.9,7450,40,251,A008ED,BKK,SGN,FDX6065,-512,B763,FX6065,2020-12-21,20:25:52
134,1608557208,10.56,106.91,6900,357,253,A008ED,BKK,SGN,FDX6065,-640,B763,FX6065,2020-12-21,20:26:48
0,1608557272,10.63,106.91,6550,358,211,A008ED,BKK,SGN,FDX6065,-320,B763,FX6065,2020-12-21,20:27:52
147,1608557327,10.69,106.91,6150,358,206,A008ED,BKK,SGN,FDX6065,-512,B763,FX6065,2020-12-21,20:28:47
65,1608557389,10.74,106.91,5575,358,208,A008ED,BKK,SGN,FDX6065,-704,B763,FX6065,2020-12-21,20:29:49
104,1608557447,10.8,106.91,4900,358,202,A008ED,BKK,SGN,FDX6065,-704,B763,FX6065,2020-12-21,20:30:47
120,1608557510,10.86,106.9,4000,338,203,A008ED,BKK,SGN,FDX6065,-960,B763,FX6065,2020-12-21,20:31:50
56,1608557569,10.88,106.85,3275,276,218,A008ED,BKK,SGN,FDX6065,-640,B763,FX6065,2020-12-21,20:32:49
135,1608557636,10.87,106.79,2450,249,206,A008ED,BKK,SGN,FDX6065,-1088,B763,FX6065,2020-12-21,20:33:56
77,1608557688,10.85,106.74,1550,249,197,A008ED,BKK,SGN,FDX6065,-960,B763,FX6065,2020-12-21,20:34:48
43,1608557760,10.83,106.68,450,249,160,A008ED,BKK,SGN,FDX6065,-832,B763,FX6065,2020-12-21,20:36:00
13,1608557821,10.82,106.65,0,250,61,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:37:01
124,1608557881,10.81,106.64,0,160,11,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:38:01
74,1608557908,10.81,106.64,0,98,12,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:38:28
17,1608557984,10.81,106.65,0,70,22,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:39:44
89,1608558116,10.82,106.66,0,67,0,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:41:56
60,1608558173,10.82,106.66,0,62,0,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:42:53
94,1608558232,10.82,106.66,0,120,7,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:43:52
55,1608558287,10.81,106.66,0,185,11,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:44:47
128,1608558360,10.81,106.66,0,180,0,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:46:00
102,1608558421,10.81,106.66,0,180,0,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:47:01
75,1608558481,10.81,106.66,0,180,0,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:48:01
97,1608558516,10.81,106.66,0,180,0,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:48:36
6,1608558602,10.81,106.66,0,180,0,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:50:02
24,1608558657,10.81,106.66,0,180,0,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:50:57
81,1608558686,10.81,106.66,0,180,0,A008ED,BKK,SGN,FDX6065,0,B763,FX6065,2020-12-21,20:51:26
