timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1618355954,1.32,104.05,5350,352,261,76AA6C,SIN,SGN,JSA555,2240,A320,3K555
1618356024,1.41,104.02,9300,340,291,76AA6C,SIN,SGN,JSA555,3648,A320,3K555
1618356074,1.48,104.0,11150,340,337,76AA6C,SIN,SGN,JSA555,1536,A320,3K555
1618356143,1.58,103.96,14700,338,348,76AA6C,SIN,SGN,JSA555,2944,A320,3K555
1618356197,1.67,103.92,16750,339,369,76AA6C,SIN,SGN,JSA555,1984,A320,3K555
1618356269,1.79,103.91,19550,356,380,76AA6C,SIN,SGN,JSA555,2176,A320,3K555
1618356324,1.89,103.9,21125,356,402,76AA6C,SIN,SGN,JSA555,2112,A320,3K555
1618356381,2.0,103.9,23050,356,406,76AA6C,SIN,SGN,JSA555,2176,A320,3K555
1618356444,2.12,103.89,24625,356,422,76AA6C,SIN,SGN,JSA555,1408,A320,3K555
1618356504,2.24,103.9,26300,19,423,76AA6C,SIN,SGN,JSA555,1344,A320,3K555
1618356562,2.35,103.94,27450,19,440,76AA6C,SIN,SGN,JSA555,1664,A320,3K555
1618356614,2.45,103.97,27975,18,465,76AA6C,SIN,SGN,JSA555,256,A320,3K555
1618356682,2.59,104.02,28100,18,482,76AA6C,SIN,SGN,JSA555,1024,A320,3K555
1618356741,2.71,104.06,30400,18,455,76AA6C,SIN,SGN,JSA555,1664,A320,3K555
1618356794,2.82,104.1,31400,18,462,76AA6C,SIN,SGN,JSA555,1536,A320,3K555
1618356861,2.96,104.14,32525,18,464,76AA6C,SIN,SGN,JSA555,1216,A320,3K555
1618356914,3.07,104.18,33625,18,465,76AA6C,SIN,SGN,JSA555,832,A320,3K555
1618356981,3.21,104.21,34925,1,472,76AA6C,SIN,SGN,JSA555,1984,A320,3K555
1618357036,3.33,104.22,36450,1,462,76AA6C,SIN,SGN,JSA555,1280,A320,3K555
1618357097,3.46,104.22,37575,1,462,76AA6C,SIN,SGN,JSA555,1152,A320,3K555
1618357158,3.59,104.22,38000,1,455,76AA6C,SIN,SGN,JSA555,-64,A320,3K555
1618357217,3.71,104.22,38000,1,460,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357278,3.84,104.23,38025,1,461,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357337,3.97,104.23,38000,1,461,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357402,4.11,104.23,37975,1,461,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357462,4.24,104.23,38000,1,463,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357518,4.36,104.24,38000,1,463,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357577,4.49,104.24,38025,1,463,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357635,4.61,104.24,38025,2,461,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357692,4.73,104.24,38000,1,461,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357750,4.86,104.24,38000,1,460,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357818,5.0,104.24,38000,357,461,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357869,5.11,104.23,38000,356,461,76AA6C,SIN,SGN,JSA555,0,A320,3K555
1618357937,5.26,104.22,38000,357,460,76AA6C,SIN,SGN,JSA555,-64,A320,3K555
