timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1608667365,22.69,113.78,2425,331,180,A3C68C,SZX,SGN,UPS146,2176,B763,5X146
1608667437,22.75,113.74,3850,294,261,A3C68C,SZX,SGN,UPS146,2368,B763,5X146
1608667503,22.71,113.68,6750,195,258,A3C68C,SZX,SGN,UPS146,3520,B763,5X146
1608667564,22.63,113.65,9175,202,275,A3C68C,SZX,SGN,UPS146,2240,B763,5X146
1608667619,22.57,113.62,10900,203,305,A3C68C,SZX,SGN,UPS146,1088,B763,5X146
1608667679,22.48,113.58,12000,202,341,A3C68C,SZX,SGN,UPS146,-64,B763,5X146
1608667733,22.4,113.55,12000,202,342,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608667796,22.31,113.51,12000,202,343,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608667859,22.21,113.47,12000,176,351,A3C68C,SZX,SGN,UPS146,128,B763,5X146
1608667920,22.12,113.5,12000,160,361,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608667982,22.02,113.54,12000,161,364,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608668042,21.93,113.57,12000,164,364,A3C68C,SZX,SGN,UPS146,64,B763,5X146
1608668103,21.81,113.56,13900,177,392,A3C68C,SZX,SGN,UPS146,320,B763,5X146
1608668158,21.72,113.56,14000,184,397,A3C68C,SZX,SGN,UPS146,64,B763,5X146
1608668216,21.6,113.55,16700,172,431,A3C68C,SZX,SGN,UPS146,2688,B763,5X146
1608668270,21.5,113.59,18950,156,450,A3C68C,SZX,SGN,UPS146,2176,B763,5X146
1608668323,21.39,113.62,20625,178,455,A3C68C,SZX,SGN,UPS146,1600,B763,5X146
1608668393,21.24,113.59,22725,192,467,A3C68C,SZX,SGN,UPS146,2304,B763,5X146
1608668454,21.13,113.57,23100,192,467,A3C68C,SZX,SGN,UPS146,2304,B763,5X146
1608668519,20.97,113.54,26950,189,480,A3C68C,SZX,SGN,UPS146,1856,B763,5X146
1608668575,20.85,113.51,28300,189,489,A3C68C,SZX,SGN,UPS146,2112,B763,5X146
1608668630,20.73,113.49,30325,190,478,A3C68C,SZX,SGN,UPS146,2176,B763,5X146
1608668682,20.61,113.47,31925,190,469,A3C68C,SZX,SGN,UPS146,960,B763,5X146
1608668746,20.5,113.45,31925,190,469,A3C68C,SZX,SGN,UPS146,960,B763,5X146
1608668798,20.37,113.42,32000,190,479,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608668858,20.26,113.4,32000,190,479,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608668918,20.15,113.38,32000,190,479,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608668981,19.96,113.35,32025,190,478,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608669042,19.84,113.32,32025,190,478,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608669102,19.73,113.3,32025,190,478,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608669162,19.62,113.28,32025,190,478,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608669210,19.53,113.26,32025,190,478,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608669282,19.4,113.24,32025,190,478,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608669342,19.27,113.22,32025,190,478,A3C68C,SZX,SGN,UPS146,0,B763,5X146
1608669402,19.14,113.19,32025,190,478,A3C68C,SZX,SGN,UPS146,0,B763,5X146
