,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
59,1603372381,3.95,104.11,27950,8,473,8A04DC,SIN,SGN,TMG501,64,B733,GM501,2020-10-22,20:13:01
68,1603372443,4.09,104.13,27925,8,473,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:14:03
50,1603372513,4.23,104.15,27925,8,472,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:15:13
9,1603372573,4.34,104.16,27925,8,472,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:16:13
28,1603372622,4.48,104.19,27925,8,470,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:17:02
79,1603372685,4.59,104.2,27925,8,470,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:18:05
11,1603372745,4.7,104.22,27925,8,470,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:19:05
35,1603372805,4.81,104.23,27925,8,470,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:20:05
26,1603372853,4.9,104.24,27925,8,470,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:20:53
13,1603373229,5.76,104.38,27925,16,456,8A04DC,SIN,SGN,TMG501,64,B733,GM501,2020-10-22,20:27:09
60,1603373275,5.85,104.41,27925,16,455,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:27:55
34,1603373349,5.99,104.45,27925,16,454,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:29:09
1,1603373409,6.09,104.48,27925,16,454,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:30:09
38,1603373469,6.19,104.51,27925,16,454,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:31:09
3,1603373541,6.32,104.54,27925,16,454,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:32:21
18,1603374388,8.02,105.17,26575,25,440,8A04DC,SIN,SGN,TMG501,-896,B733,GM501,2020-10-22,20:46:28
20,1603374449,8.12,105.22,26075,25,446,8A04DC,SIN,SGN,TMG501,-960,B733,GM501,2020-10-22,20:47:29
62,1603374505,8.23,105.27,25925,25,433,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:48:25
66,1603374564,8.34,105.32,25950,25,445,8A04DC,SIN,SGN,TMG501,-128,B733,GM501,2020-10-22,20:49:24
40,1603374626,8.46,105.38,25925,25,446,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:50:26
6,1603374688,8.57,105.43,25925,25,446,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:51:28
17,1603374748,8.69,105.49,25950,25,450,8A04DC,SIN,SGN,TMG501,-64,B733,GM501,2020-10-22,20:52:28
5,1603374807,8.8,105.54,25925,25,452,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:53:27
4,1603374874,8.92,105.6,25950,25,454,8A04DC,SIN,SGN,TMG501,64,B733,GM501,2020-10-22,20:54:34
53,1603374936,9.04,105.66,25925,25,453,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:55:36
57,1603374994,9.15,105.71,25925,25,452,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:56:34
48,1603375052,9.26,105.76,25925,25,449,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:57:32
31,1603375111,9.37,105.82,25925,25,447,8A04DC,SIN,SGN,TMG501,64,B733,GM501,2020-10-22,20:58:31
23,1603375169,9.48,105.87,25925,25,446,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:59:29
32,1603375227,9.59,105.92,25200,25,443,8A04DC,SIN,SGN,TMG501,-960,B733,GM501,2020-10-22,21:00:27
14,1603375291,9.71,105.98,24125,25,433,8A04DC,SIN,SGN,TMG501,-960,B733,GM501,2020-10-22,21:01:31
2,1603375351,9.82,106.03,23125,25,428,8A04DC,SIN,SGN,TMG501,-960,B733,GM501,2020-10-22,21:02:31
37,1603375412,9.93,106.08,22100,25,420,8A04DC,SIN,SGN,TMG501,-960,B733,GM501,2020-10-22,21:03:32
27,1603375471,10.03,106.13,21125,25,412,8A04DC,SIN,SGN,TMG501,-960,B733,GM501,2020-10-22,21:04:31
15,1603375531,10.13,106.18,20125,25,401,8A04DC,SIN,SGN,TMG501,-960,B733,GM501,2020-10-22,21:05:31
25,1603375594,10.23,106.23,19075,26,388,8A04DC,SIN,SGN,TMG501,-1024,B733,GM501,2020-10-22,21:06:34
65,1603375655,10.32,106.3,18075,46,373,8A04DC,SIN,SGN,TMG501,-960,B733,GM501,2020-10-22,21:07:35
42,1603375710,10.37,106.38,16675,74,364,8A04DC,SIN,SGN,TMG501,-2624,B733,GM501,2020-10-22,21:08:30
10,1603375779,10.39,106.49,13650,76,355,8A04DC,SIN,SGN,TMG501,-2560,B733,GM501,2020-10-22,21:09:39
46,1603375841,10.42,106.59,11125,76,347,8A04DC,SIN,SGN,TMG501,-1792,B733,GM501,2020-10-22,21:10:41
71,1603375899,10.42,106.68,10375,81,300,8A04DC,SIN,SGN,TMG501,-320,B733,GM501,2020-10-22,21:11:39
41,1603375958,10.45,106.76,8975,70,287,8A04DC,SIN,SGN,TMG501,-1792,B733,GM501,2020-10-22,21:12:38
44,1603376018,10.47,106.83,7300,70,282,8A04DC,SIN,SGN,TMG501,-1728,B733,GM501,2020-10-22,21:13:38
58,1603376079,10.49,106.91,7100,76,271,8A04DC,SIN,SGN,TMG501,64,B733,GM501,2020-10-22,21:14:39
84,1603376125,10.51,106.96,6850,54,267,8A04DC,SIN,SGN,TMG501,-2048,B733,GM501,2020-10-22,21:15:25
19,1603376200,10.6,106.96,4500,347,268,8A04DC,SIN,SGN,TMG501,-1728,B733,GM501,2020-10-22,21:16:40
55,1603376267,10.68,106.95,3175,348,252,8A04DC,SIN,SGN,TMG501,-512,B733,GM501,2020-10-22,21:17:47
36,1603376323,10.74,106.93,2425,347,232,8A04DC,SIN,SGN,TMG501,-1024,B733,GM501,2020-10-22,21:18:43
74,1603376387,10.79,106.9,2100,315,202,8A04DC,SIN,SGN,TMG501,-64,B733,GM501,2020-10-22,21:19:47
24,1603376446,10.83,106.86,2100,314,201,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,21:20:46
67,1603376506,10.87,106.82,2125,314,201,8A04DC,SIN,SGN,TMG501,192,B733,GM501,2020-10-22,21:21:46
63,1603376568,10.87,106.78,2125,237,178,8A04DC,SIN,SGN,TMG501,128,B733,GM501,2020-10-22,21:22:48
64,1603376630,10.85,106.73,1400,248,138,8A04DC,SIN,SGN,TMG501,-640,B733,GM501,2020-10-22,21:23:50
45,1603376688,10.84,106.7,800,248,127,8A04DC,SIN,SGN,TMG501,-640,B733,GM501,2020-10-22,21:24:48
43,1603376747,10.82,106.67,175,248,122,8A04DC,SIN,SGN,TMG501,-576,B733,GM501,2020-10-22,21:25:47
75,1603376808,10.82,106.65,0,233,28,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,21:26:48
39,1603376870,10.81,106.65,0,157,9,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,21:27:50
83,1603376891,10.81,106.65,0,160,9,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,21:28:11
