timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1605058172,10.89,106.85,2800,247,200,88805D,VCS,SGN,VFC8084,-448,AT75,0V8084
1605057647,10.47,106.88,11050,359,267,88805D,VCS,SGN,VFC8084,-896,AT75,0V8084
1605056919,9.56,106.86,14725,20,149,88805D,VCS,SGN,VFC8084,576,AT75,0V8084
1605056869,9.51,106.84,14200,21,226,88805D,VCS,SGN,VFC8084,640,AT75,0V8084
1605058358,10.84,106.72,1125,247,160,88805D,VCS,SGN,VFC8084,-640,AT75,0V8084
1605056750,9.4,106.79,13050,19,224,88805D,VCS,SGN,VFC8084,640,AT75,0V8084
1605057574,10.37,106.88,12250,359,252,88805D,VCS,SGN,VFC8084,-960,AT75,0V8084
1605057162,9.83,106.87,15075,1,252,88805D,VCS,SGN,VFC8084,64,AT75,0V8084
1605057767,10.61,106.91,8650,23,217,88805D,VCS,SGN,VFC8084,-1472,AT75,0V8084
1605058477,10.82,106.66,0,250,82,88805D,VCS,SGN,VFC8084,0,AT75,0V8084
1605057043,9.69,106.87,15075,2,246,88805D,VCS,SGN,VFC8084,-64,AT75,0V8084
1605058416,10.83,106.69,525,249,105,88805D,VCS,SGN,VFC8084,-576,AT75,0V8084
1605058001,10.87,107.01,4275,346,203,88805D,VCS,SGN,VFC8084,-576,AT75,0V8084
1605056686,9.34,106.77,12350,17,233,88805D,VCS,SGN,VFC8084,576,AT75,0V8084
1605056814,9.46,106.82,13700,19,183,88805D,VCS,SGN,VFC8084,576,AT75,0V8084
1605057690,10.52,106.88,10300,359,280,88805D,VCS,SGN,VFC8084,-896,AT75,0V8084
1605057459,10.21,106.88,14100,4,237,88805D,VCS,SGN,VFC8084,-704,AT75,0V8084
1605057937,10.8,106.99,5225,22,215,88805D,VCS,SGN,VFC8084,-960,AT75,0V8084
1605056985,9.62,106.87,15075,2,221,88805D,VCS,SGN,VFC8084,64,AT75,0V8084
1605058122,10.9,106.9,3225,285,147,88805D,VCS,SGN,VFC8084,-448,AT75,0V8084
1605058526,10.82,106.66,0,115,16,88805D,VCS,SGN,VFC8084,0,AT75,0V8084
1605058291,10.86,106.76,1875,251,135,88805D,VCS,SGN,VFC8084,-704,AT75,0V8084
1605058234,10.87,106.8,2300,249,180,88805D,VCS,SGN,VFC8084,-512,AT75,0V8084
1605058526,10.82,106.66,0,115,16,88805D,VCS,SGN,VFC8084,0,AT75,0V8084
1605057398,10.13,106.88,14850,1,283,88805D,VCS,SGN,VFC8084,-384,AT75,0V8084
1605057821,10.67,106.94,7400,21,98,88805D,VCS,SGN,VFC8084,-1408,AT75,0V8084
1605057278,9.98,106.88,15075,4,273,88805D,VCS,SGN,VFC8084,0,AT75,0V8084
1605056492,9.16,106.71,10100,18,137,88805D,VCS,SGN,VFC8084,704,AT75,0V8084
1605057336,10.05,106.88,15075,1,272,88805D,VCS,SGN,VFC8084,0,AT75,0V8084
1605057880,10.74,106.96,6150,21,260,88805D,VCS,SGN,VFC8084,-1088,AT75,0V8084
1605056540,9.2,106.72,10650,19,13,88805D,VCS,SGN,VFC8084,704,AT75,0V8084
1605057221,9.91,106.88,15075,1,237,88805D,VCS,SGN,VFC8084,0,AT75,0V8084
1605057097,9.75,106.87,15075,4,184,88805D,VCS,SGN,VFC8084,0,AT75,0V8084
1605058059,10.89,106.95,3750,283,199,88805D,VCS,SGN,VFC8084,-512,AT75,0V8084
1605057517,10.29,106.88,13200,359,515,88805D,VCS,SGN,VFC8084,-960,AT75,0V8084
1605058172,10.89,106.85,2800,247,200,88805D,VCS,SGN,VFC8084,-448,AT75,0V8084
1605057647,10.47,106.88,11050,359,267,88805D,VCS,SGN,VFC8084,-896,AT75,0V8084
1605056919,9.56,106.86,14725,20,149,88805D,VCS,SGN,VFC8084,576,AT75,0V8084
1605056869,9.51,106.84,14200,21,226,88805D,VCS,SGN,VFC8084,640,AT75,0V8084
1605058358,10.84,106.72,1125,247,160,88805D,VCS,SGN,VFC8084,-640,AT75,0V8084
1605056750,9.4,106.79,13050,19,224,88805D,VCS,SGN,VFC8084,640,AT75,0V8084
1605057574,10.37,106.88,12250,359,252,88805D,VCS,SGN,VFC8084,-960,AT75,0V8084
1605057162,9.83,106.87,15075,1,252,88805D,VCS,SGN,VFC8084,64,AT75,0V8084
1605057767,10.61,106.91,8650,23,217,88805D,VCS,SGN,VFC8084,-1472,AT75,0V8084
1605058477,10.82,106.66,0,250,82,88805D,VCS,SGN,VFC8084,0,AT75,0V8084
1605057043,9.69,106.87,15075,2,246,88805D,VCS,SGN,VFC8084,-64,AT75,0V8084
1605058416,10.83,106.69,525,249,105,88805D,VCS,SGN,VFC8084,-576,AT75,0V8084
1605058001,10.87,107.01,4275,346,203,88805D,VCS,SGN,VFC8084,-576,AT75,0V8084
1605056686,9.34,106.77,12350,17,233,88805D,VCS,SGN,VFC8084,576,AT75,0V8084
1605056814,9.46,106.82,13700,19,183,88805D,VCS,SGN,VFC8084,576,AT75,0V8084
1605057690,10.52,106.88,10300,359,280,88805D,VCS,SGN,VFC8084,-896,AT75,0V8084
1605057459,10.21,106.88,14100,4,237,88805D,VCS,SGN,VFC8084,-704,AT75,0V8084
1605057937,10.8,106.99,5225,22,215,88805D,VCS,SGN,VFC8084,-960,AT75,0V8084
