timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1593700187,28.43,118.67,36075,202,480,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700252,28.29,118.6,36100,202,484,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700311,28.17,118.55,36100,203,485,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700372,28.05,118.48,36075,203,480,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700422,27.95,118.43,36100,203,476,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700493,27.8,118.36,36100,203,475,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700547,27.7,118.3,36100,223,469,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700590,27.65,118.21,36100,243,466,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700672,27.57,118.03,36100,243,469,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700733,27.51,117.9,36100,243,470,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700797,27.45,117.76,36100,243,466,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700863,27.38,117.62,36075,243,463,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700924,27.33,117.5,36100,243,462,780301,PVG,SGN,CES7053,0,A333,MU7053
1593700963,27.29,117.4,36100,242,466,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701046,27.21,117.22,36100,242,471,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701106,27.15,117.09,36100,242,470,780301,PVG,SGN,CES7053,64,A333,MU7053
1593701166,27.09,116.96,36075,242,474,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701227,27.02,116.83,36100,242,477,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701290,26.96,116.69,36100,242,481,780301,PVG,SGN,CES7053,-64,A333,MU7053
1593701347,26.9,116.57,36100,242,482,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701403,26.84,116.44,36100,242,486,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701440,26.81,116.36,36100,242,486,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701516,26.73,116.2,36100,242,485,780301,PVG,SGN,CES7053,64,A333,MU7053
1593701568,26.68,116.08,36100,242,484,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701635,26.6,115.92,36100,242,487,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701692,26.54,115.8,36100,242,485,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701756,26.47,115.67,36100,235,487,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701808,26.39,115.58,36100,227,489,780301,PVG,SGN,CES7053,-64,A333,MU7053
1593701868,26.31,115.48,36100,227,489,780301,PVG,SGN,CES7053,-64,A333,MU7053
1593701922,26.21,115.35,36100,227,492,780301,PVG,SGN,CES7053,0,A333,MU7053
1593701996,26.11,115.24,36100,227,492,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702056,26.03,115.14,36100,228,491,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702108,25.98,115.07,36100,228,488,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702171,25.82,114.9,36100,218,494,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702224,25.73,114.84,36075,217,494,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702284,25.64,114.76,36075,217,494,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702349,25.45,114.71,36100,202,489,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702403,25.34,114.66,36100,202,491,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702460,25.22,114.61,36100,202,494,780301,PVG,SGN,CES7053,64,A333,MU7053
1593702519,25.09,114.55,36100,202,496,780301,PVG,SGN,CES7053,-64,A333,MU7053
1593702584,24.95,114.49,36100,202,496,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702650,24.81,114.43,36100,202,494,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702705,24.7,114.38,36100,201,491,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702774,24.55,114.31,36100,202,487,780301,PVG,SGN,CES7053,0,A333,MU7053
1593702837,24.42,114.25,36100,202,484,780301,PVG,SGN,CES7053,0,A333,MU7053
